2024-08-07 23:11:55 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): httpbin.org:443 (connectionpool.py:1051)
2024-08-07 23:11:56 [   DEBUG] [urllib3.connectionpool] https://httpbin.org:443 "GET /digest-auth/auth/123/123/MD5 HTTP/11" 401 0 (connectionpool.py:546)
2024-08-07 23:11:56 [   DEBUG] [urllib3.connectionpool] https://httpbin.org:443 "GET /digest-auth/auth/123/123/MD5 HTTP/11" 200 46 (connectionpool.py:546)
2024-08-07 23:11:56 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1051)
2024-08-07 23:11:58 [   DEBUG] [urllib3.connectionpool] https://petstore.swagger.io:443 "GET /v2/pet/191 HTTP/11" 200 None (connectionpool.py:546)
2024-08-07 23:11:58 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1051)
2024-08-07 23:11:58 [   DEBUG] [urllib3.connectionpool] https://petstore.swagger.io:443 "GET /v2/pet/191 HTTP/11" 404 None (connectionpool.py:546)
2024-08-07 23:11:58 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1051)
2024-08-07 23:11:59 [   DEBUG] [urllib3.connectionpool] https://petstore.swagger.io:443 "POST /v2/pet/ HTTP/11" 200 None (connectionpool.py:546)
2024-08-07 23:11:59 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1051)
2024-08-07 23:12:00 [   DEBUG] [urllib3.connectionpool] https://petstore.swagger.io:443 "POST /v2/pet/ HTTP/11" 200 None (connectionpool.py:546)
2024-08-07 23:12:00 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1051)
2024-08-07 23:12:01 [   DEBUG] [urllib3.connectionpool] https://petstore.swagger.io:443 "GET /v2/pet/191 HTTP/11" 200 None (connectionpool.py:546)
2024-08-07 23:12:01 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1051)
2024-08-07 23:12:03 [   DEBUG] [urllib3.connectionpool] https://petstore.swagger.io:443 "PUT /v2/pet/ HTTP/11" 200 None (connectionpool.py:546)
2024-08-07 23:12:03 [    INFO] [APIPetstoreTests.test_pets] API call done (test_pets.py:33)
2024-08-07 23:12:03 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1051)
2024-08-07 23:12:04 [   DEBUG] [urllib3.connectionpool] https://petstore.swagger.io:443 "DELETE /v2/pet/191 HTTP/11" 200 None (connectionpool.py:546)
